seq,pat,naive,naive2,kmp,kmp2,bmh
1000000,10000,3.6069995985599235e-06,5.709989636670798e-07,8.319984772242606e-07,6.709997251164168e-07,5.510009941644967e-07
1000000,10000,4.518000423558988e-06,4.210014594718814e-07,8.009992598090321e-07,6.909995136084035e-07,4.90999809699133e-07
1000000,10000,4.168001396465115e-06,4.6100103645585477e-07,7.210001058410853e-07,6.810005288571119e-07,4.90999809699133e-07
1000000,10000,4.286999683245085e-06,4.7100002120714635e-07,5.809997674077749e-07,1.0919993655988947e-06,5.509991751750931e-07
1000000,10000,5.390000296756625e-06,4.90999809699133e-07,6.110003596404567e-07,8.419992809649557e-07,5.609999789157882e-07
1000000,10000,4.378000085125677e-06,3.8100006349850446e-07,6.209993443917483e-07,8.309998520417139e-07,6.210011633811519e-07
1000000,10000,3.3060005080187693e-06,3.9999940781854093e-07,9.420000424142927e-07,8.120005077216774e-07,6.219997885636985e-07
1000000,10000,4.07799961976707e-06,4.7100002120714635e-07,6.40999132883735e-07,8.309998520417139e-07,5.410001904238015e-07
1000000,10000,4.187999365967698e-06,5.209985829424113e-07,8.110000635497272e-07,7.510006980737671e-07,4.5100023271515965e-07
1000000,10000,5.278998287394643e-06,4.2099964048247784e-07,8.710012480150908e-07,8.209990483010188e-07,6.209993443917483e-07
1000000,10000,4.658000761992298e-06,4.810008249478415e-07,1.2820000847568735e-06,7.809994713170454e-07,5.510009941644967e-07
1000000,10000,4.458001058083028e-06,4.6000059228390455e-07,1.0519997886149213e-06,7.509988790843636e-07,7.609996828250587e-07
1000000,10000,3.466999260126613e-06,4.7100002120714635e-07,8.209990483010188e-07,7.210001058410853e-07,5.309993866831064e-07
1000000,10000,3.7669997254852206e-06,3.4999902709387243e-07,5.3100120567251e-07,7.40999894333072e-07,5.100009730085731e-07
1000000,10000,3.7770005292259157e-06,6.110003596404567e-07,7.110011210897937e-07,6.91001332597807e-07,3.9099904824979603e-07
1000000,10000,3.8070011214585975e-06,4.0099985199049115e-07,4.90999809699133e-07,8.320002962136641e-07,5.010006134398282e-07
1000000,10000,3.8670004869345576e-06,6.109985406510532e-07,6.709997251164168e-07,6.310001481324434e-07,5.710007826564834e-07
1000000,10000,3.5769990063272417e-06,3.7099925975780934e-07,6.009995558997616e-07,8.21999492472969e-07,4.90999809699133e-07
1000000,10000,5.149000571691431e-06,5.109995981911197e-07,6.110003596404567e-07,5.9100057114847e-07,3.6100027500651777e-07
1000000,10000,4.6789991756668314e-06,4.7100002120714635e-07,7.810012903064489e-07,4.800003807758912e-07,3.5099947126582265e-07
1000000,10000,3.3760006772354245e-06,3.5099947126582265e-07,6.12000803812407e-07,6.109985406510532e-07,6.210011633811519e-07
1000000,10000,3.245000698370859e-06,4.109988367417827e-07,5.909987521590665e-07,6.709997251164168e-07,3.2999923860188574e-07
1000000,10000,3.336001100251451e-06,2.310007403139025e-07,7.919989002402872e-07,5.410001904238015e-07,4.0099985199049115e-07
1000000,10000,5.4299998737405986e-06,2.710003172978759e-07,7.520011422457173e-07,6.419995770556852e-07,4.2099964048247784e-07
1000000,10000,3.866998667945154e-06,3.2099887903314084e-07,5.3100120567251e-07,8.009992598090321e-07,3.1099989428184927e-07
1000000,10000,3.076000211876817e-06,3.210006980225444e-07,5.510009941644967e-07,5.209985829424113e-07,4.0099985199049115e-07
1000000,10000,2.894999852287583e-06,3.010009095305577e-07,6.219997885636985e-07,5.510009941644967e-07,3.0000046535860747e-07
1000000,10000,3.1460003810934722e-06,2.2099993657320738e-07,8.009992598090321e-07,5.309993866831064e-07,3.2000025385059416e-07
1000000,10000,3.3559990697540343e-06,2.200013113906607e-07,7.310009095817804e-07,4.2099964048247784e-07,3.9099904824979603e-07
1000000,10000,3.3659998734947294e-06,2.1099913283251226e-07,6.210011633811519e-07,9.22000253922306e-07,4.0099985199049115e-07
1000000,10000,2.9660004656761885e-06,3.210006980225444e-07,6.310001481324434e-07,5.309993866831064e-07,3.0099909054115415e-07
1000000,10000,3.50700065609999e-06,2.8999966161791235e-07,6.210011633811519e-07,5.210004019318148e-07,3.0099909054115415e-07
1000000,10000,3.5560005926527083e-06,2.3099892132449895e-07,6.219997885636985e-07,4.2099964048247784e-07,4.2099964048247784e-07
1000000,10000,3.175000529154204e-06,3.1099989428184927e-07,9.420000424142927e-07,4.3100044422317296e-07,3.100012690993026e-07
1000000,10000,2.9959992389194667e-06,3.4000004234258085e-07,5.410001904238015e-07,3.510012902552262e-07,3.210006980225444e-07
1000000,10000,3.727000148501247e-06,4.7100002120714635e-07,4.899993655271828e-07,4.399989848025143e-07,3.8100006349850446e-07
1000000,10000,3.6870005715172738e-06,3.3099968277383596e-07,5.510009941644967e-07,5.210004019318148e-07,3.3099968277383596e-07
1000000,10000,3.2960015232674778e-06,3.0099909054115415e-07,8.309998520417139e-07,5.210004019318148e-07,3.0099909054115415e-07
1000000,10000,2.9450002330122516e-06,2.8099930204916745e-07,4.199991963105276e-07,5.210004019318148e-07,3.910008672391996e-07
1000000,10000,3.125998773612082e-06,3.0099909054115415e-07,6.510017556138337e-07,7.020007615210488e-07,3.1099989428184927e-07
1000000,10000,2.544999006204307e-06,2.1000050764996558e-07,6.009995558997616e-07,5.010006134398282e-07,4.1100065573118627e-07
1000000,10000,3.656999979284592e-06,3.1099989428184927e-07,8.620008884463459e-07,6.909995136084035e-07,3.199984348611906e-07
1000000,10000,3.796998498728499e-06,3.0099909054115415e-07,5.410001904238015e-07,5.109995981911197e-07,3.2000025385059416e-07
1000000,10000,3.125998773612082e-06,3.010009095305577e-07,8.609986252849922e-07,4.4099942897446454e-07,3.310015017632395e-07
1000000,10000,3.7669997254852206e-06,2.600008883746341e-07,6.110003596404567e-07,5.009987944504246e-07,3.2099887903314084e-07
1000000,10000,3.7560002965619788e-06,2.6099951355718076e-07,5.510009941644967e-07,6.410009518731385e-07,3.9099904824979603e-07
1000000,10000,2.453998604323715e-06,3.2000025385059416e-07,6.020000000717118e-07,5.309993866831064e-07,4.2099964048247784e-07
1000000,10000,3.2059997465694323e-06,2.1999949240125716e-07,6.110003596404567e-07,4.2000101529993117e-07,3.0999945010989904e-07
1000000,10000,2.7850001060869545e-06,4.90999809699133e-07,9.319992386735976e-07,5.9100057114847e-07,3.0000046535860747e-07
1000000,10000,3.946999640902504e-06,2.9100010578986257e-07,7.410017133224756e-07,5.110014171805233e-07,3.010009095305577e-07
1000000,10000,4.577999789034948e-06,4.2099964048247784e-07,4.399989848025143e-07,5.210004019318148e-07,3.100012690993026e-07
1000000,10000,5.029000021750107e-06,3.3099968277383596e-07,5.309993866831064e-07,4.90999809699133e-07,3.910008672391996e-07
1000000,10000,2.835000486811623e-06,3.2099887903314084e-07,6.619993655476719e-07,7.020007615210488e-07,4.5100023271515965e-07
1000000,10000,2.7149999368702993e-06,5.109995981911197e-07,5.210004019318148e-07,4.309986252337694e-07,4.4000080379191786e-07
1000000,10000,3.195998942828737e-06,2.9100010578986257e-07,6.020000000717118e-07,5.210004019318148e-07,5.609999789157882e-07
1000000,10000,4.307999915909022e-06,2.6999987312592566e-07,5.210004019318148e-07,4.2000101529993117e-07,3.010009095305577e-07
1000000,10000,3.6870005715172738e-06,2.3999928089324385e-07,6.110003596404567e-07,4.3000000005122274e-07,4.6099921746645123e-07
1000000,10000,3.897999704349786e-06,3.1099989428184927e-07,7.809994713170454e-07,4.509984137257561e-07,3.0999945010989904e-07
1000000,10000,2.9349994292715564e-06,4.410012479638681e-07,5.309993866831064e-07,5.3100120567251e-07,3.100012690993026e-07
1000000,10000,2.8559989004861563e-06,3.010009095305577e-07,6.219997885636985e-07,5.009987944504246e-07,3.0000046535860747e-07
1000000,10000,3.2059997465694323e-06,4.5100023271515965e-07,6.40999132883735e-07,4.1100065573118627e-07,3.2099887903314084e-07
1000000,10000,2.755001332843676e-06,3.1099989428184927e-07,6.209993443917483e-07,5.210004019318148e-07,3.0099909054115415e-07
1000000,10000,3.315999492770061e-06,3.3099968277383596e-07,5.110014171805233e-07,5.209985829424113e-07,6.310001481324434e-07
1000000,10000,2.884999048546888e-06,3.0099909054115415e-07,6.109985406510532e-07,5.609999789157882e-07,5.9100057114847e-07
1000000,10000,3.3359992812620476e-06,2.9100010578986257e-07,5.199999577598646e-07,8.010010787984356e-07,4.3100044422317296e-07
1000000,10000,2.926000888692215e-06,6.509999366244301e-07,5.109995981911197e-07,5.710007826564834e-07,3.9999940781854093e-07
1000000,10000,3.1250001484295353e-06,4.210014594718814e-07,5.210004019318148e-07,5.009987944504246e-07,3.9999940781854093e-07
1000000,10000,3.2860007195267826e-06,7.010003173490986e-07,5.010006134398282e-07,5.410001904238015e-07,4.2099964048247784e-07
1000000,10000,3.4959994081873447e-06,3.3099968277383596e-07,5.009987944504246e-07,4.3100044422317296e-07,3.910008672391996e-07
1000000,10000,2.9450002330122516e-06,4.3100044422317296e-07,6.310001481324434e-07,4.199991963105276e-07,5.210004019318148e-07
1000000,10000,3.4059994504787028e-06,2.400010998826474e-07,5.109995981911197e-07,5.000001692678779e-07,3.010009095305577e-07
1000000,10000,4.057999831275083e-06,6.110003596404567e-07,6.109985406510532e-07,5.410001904238015e-07,3.510012902552262e-07
1000000,10000,2.8650010790443048e-06,3.0099909054115415e-07,5.709989636670798e-07,5.010006134398282e-07,4.109988367417827e-07
1000000,10000,2.6849993446376175e-06,3.210006980225444e-07,7.310009095817804e-07,4.410012479638681e-07,3.3099968277383596e-07
1000000,10000,4.958999852533452e-06,2.6999987312592566e-07,4.5100023271515965e-07,6.420013960450888e-07,4.0099985199049115e-07
1000000,10000,2.8449994715629146e-06,2.1000050764996558e-07,4.6000059228390455e-07,5.609999789157882e-07,4.000012268079445e-07
1000000,10000,2.6339985197409987e-06,3.0999945010989904e-07,6.40999132883735e-07,5.309993866831064e-07,3.0000046535860747e-07
1000000,10000,5.2200011850800365e-06,2.510005288058892e-07,6.009995558997616e-07,5.109995981911197e-07,3.0999945010989904e-07
1000000,10000,3.396000465727411e-06,2.600008883746341e-07,5.410001904238015e-07,5.109995981911197e-07,3.1099989428184927e-07
1000000,10000,3.3060005080187693e-06,2.1000050764996558e-07,7.309990905923769e-07,6.410009518731385e-07,5.410001904238015e-07
1000000,10000,4.78799847769551e-06,3.0099909054115415e-07,6.210011633811519e-07,5.3100120567251e-07,3.0999945010989904e-07
1000000,10000,3.3160013117594644e-06,3.1099989428184927e-07,5.410001904238015e-07,9.020004654303193e-07,4.5100023271515965e-07
1000000,10000,4.509000063990243e-06,2.800006768666208e-07,6.209993443917483e-07,7.710004865657538e-07,3.010009095305577e-07
1000000,10000,3.6059991543879732e-06,5.009987944504246e-07,5.410001904238015e-07,6.40999132883735e-07,3.9999940781854093e-07
1000000,10000,3.4059994504787028e-06,3.8100006349850446e-07,5.809997674077749e-07,5.109995981911197e-07,3.9099904824979603e-07
1000000,10000,3.1659983505960554e-06,4.5100023271515965e-07,7.819999154889956e-07,5.509991751750931e-07,4.309986252337694e-07
1000000,10000,4.328001523390412e-06,3.410004865145311e-07,6.40999132883735e-07,5.199999577598646e-07,3.9099904824979603e-07
1000000,10000,2.965998646686785e-06,3.1099989428184927e-07,6.310001481324434e-07,4.309986252337694e-07,3.1099989428184927e-07
1000000,10000,4.127001375309192e-06,2.9100010578986257e-07,6.310001481324434e-07,5.210004019318148e-07,3.9000042306724936e-07
1000000,10000,3.106000804109499e-06,3.9999940781854093e-07,5.109995981911197e-07,4.899993655271828e-07,3.010009095305577e-07
1000000,10000,3.5260000004200265e-06,3.2099887903314084e-07,6.810005288571119e-07,5.109995981911197e-07,3.910008672391996e-07
1000000,10000,3.0649989639641717e-06,4.3100044422317296e-07,5.809997674077749e-07,7.319995347643271e-07,3.010009095305577e-07
1000000,10000,2.9660004656761885e-06,3.0099909054115415e-07,6.210011633811519e-07,4.90999809699133e-07,4.0099985199049115e-07
1000000,10000,4.026998794870451e-06,3.8100006349850446e-07,6.110003596404567e-07,4.410012479638681e-07,4.0099985199049115e-07
1000000,10000,3.2759999157860875e-06,3.0000046535860747e-07,5.809997674077749e-07,6.710015441058204e-07,4.809990059584379e-07
1000000,10000,2.5650006136856973e-06,3.0000046535860747e-07,5.510009941644967e-07,5.9100057114847e-07,4.1100065573118627e-07
1000000,10000,2.685001163627021e-06,3.9000042306724936e-07,5.509991751750931e-07,6.610007403651252e-07,3.100012690993026e-07
1000000,10000,3.6270012060413137e-06,2.200013113906607e-07,6.310001481324434e-07,7.010003173490986e-07,3.210006980225444e-07
1000000,10000,3.195998942828737e-06,2.310007403139025e-07,5.309993866831064e-07,5.410001904238015e-07,3.4099866752512753e-07
1000000,10000,2.824999683070928e-06,2.310007403139025e-07,5.40998371434398e-07,7.819999154889956e-07,3.2099887903314084e-07
1000000,10000,3.7569989217445254e-06,2.900014806073159e-07,4.210014594718814e-07,6.009995558997616e-07,3.010009095305577e-07
1000000,10000,3.465998815954663e-06,3.0000046535860747e-07,5.609999789157882e-07,5.210004019318148e-07,4.90999809699133e-07
1000000,10000,3.725999704329297e-06,3.3099968277383596e-07,5.110014171805233e-07,5.309993866831064e-07,4.1100065573118627e-07
1000000,10000,3.176000973326154e-06,3.010009095305577e-07,6.509999366244301e-07,5.210004019318148e-07,4.1100065573118627e-07
1000000,10000,3.997000021627173e-06,2.3099892132449895e-07,7.210001058410853e-07,5.209985829424113e-07,3.0999945010989904e-07
1000000,10000,3.166000169585459e-06,3.2000025385059416e-07,5.709989636670798e-07,5.609999789157882e-07,4.000012268079445e-07
1000000,10000,3.62599894287996e-06,4.0099985199049115e-07,9.309987945016474e-07,5.3100120567251e-07,3.0999945010989904e-07
1000000,10000,2.9650000215042382e-06,4.0099985199049115e-07,9.22000253922306e-07,5.210004019318148e-07,3.0099909054115415e-07
1000000,10000,3.827000909950584e-06,2.9099828680045903e-07,6.310001481324434e-07,5.210004019318148e-07,4.6100103645585477e-07
1000000,10000,3.256000127294101e-06,3.4999902709387243e-07,6.919999577803537e-07,5.309993866831064e-07,3.2000025385059416e-07
1000000,10000,3.635999746620655e-06,3.2099887903314084e-07,7.010003173490986e-07,4.90999809699133e-07,4.3100044422317296e-07
1000000,10000,3.4869990486185998e-06,3.210006980225444e-07,5.509991751750931e-07,7.910002750577405e-07,3.9000042306724936e-07
1000000,10000,3.2059997465694323e-06,7.520011422457173e-07,5.510009941644967e-07,5.210004019318148e-07,4.210014594718814e-07
1000000,10000,3.025001205969602e-06,3.710010787472129e-07,5.309993866831064e-07,7.819999154889956e-07,4.2099964048247784e-07
1000000,10000,3.396000465727411e-06,3.0000046535860747e-07,5.510009941644967e-07,5.199999577598646e-07,3.210006980225444e-07
1000000,10000,4.01800025429111e-06,2.800006768666208e-07,9.020004654303193e-07,5.410001904238015e-07,3.1099989428184927e-07
1000000,10000,2.835000486811623e-06,3.010009095305577e-07,5.710007826564834e-07,5.109995981911197e-07,3.1099989428184927e-07
1000000,10000,3.635999746620655e-06,3.2000025385059416e-07,6.72000169288367e-07,6.319987733149901e-07,5.609999789157882e-07
1000000,10000,3.4270015021320432e-06,2.900014806073159e-07,6.009995558997616e-07,4.4099942897446454e-07,4.1100065573118627e-07
1000000,10000,3.727000148501247e-06,2.3000029614195228e-07,5.9100057114847e-07,4.4099942897446454e-07,4.3100044422317296e-07
1000000,10000,4.437999450601637e-06,2.5099870981648564e-07,6.110003596404567e-07,5.210004019318148e-07,4.4099942897446454e-07
1000000,10000,3.5159991966793314e-06,3.1099989428184927e-07,7.010003173490986e-07,6.520003807963803e-07,3.1099989428184927e-07
1000000,10000,3.836999894701876e-06,2.3000029614195228e-07,6.309983291430399e-07,5.209985829424113e-07,3.010009095305577e-07
1000000,10000,3.5169996408512816e-06,3.1099989428184927e-07,6.40999132883735e-07,4.3100044422317296e-07,4.6099921746645123e-07
1000000,10000,3.3359992812620476e-06,3.2000025385059416e-07,6.509999366244301e-07,6.110003596404567e-07,4.410012479638681e-07
1000000,10000,3.4360000427113846e-06,4.309986252337694e-07,6.110003596404567e-07,4.199991963105276e-07,3.910008672391996e-07
1000000,10000,3.315999492770061e-06,3.0999945010989904e-07,6.209993443917483e-07,5.410001904238015e-07,3.0999945010989904e-07
1000000,10000,3.3970009098993614e-06,6.609989213757217e-07,5.510009941644967e-07,5.210004019318148e-07,4.000012268079445e-07
1000000,10000,3.3059986890293658e-06,4.3100044422317296e-07,6.110003596404567e-07,6.709997251164168e-07,3.0999945010989904e-07
