seq,naive1,naive2,naive3,kmp1,kmp2,kmp3
820000,1.1587720073293893e-06,1.3787160860374566e-06,1.2480399673222564e-06,1.3648159365402533e-06,1.3867480083717965e-06,1.6379381268052383e-06
830000,1.1668499428196809e-06,1.5256420228979551e-06,1.1237760190851985e-06,1.33599392574979e-06,1.4619960566051307e-06,1.2857399269705638e-06
840000,1.0735861214925536e-06,1.2628798431251197e-06,1.2047499258187599e-06,1.2510580418165772e-06,1.2258019341970794e-06,1.2507159553933891e-06
850000,1.2790900364052504e-06,1.3400320531218313e-06,1.1182160014868714e-06,1.310207982896827e-06,1.5364720384241082e-06,1.369304074614775e-06
860000,1.367104043310974e-06,1.3753479943261481e-06,1.1295919466647317e-06,1.3375119378906677e-06,1.2408340917318127e-06,1.3085340688121506e-06
870000,1.0097959384438581e-06,1.3212861085776237e-06,1.0748719578259623e-06,1.2255460896994918e-06,1.2279820803087208e-06,1.2880099748144859e-06
880000,1.1358220799593255e-06,1.2300259986659512e-06,1.3886079905205402e-06,1.276715978747234e-06,1.2772398913512008e-06,1.2433540323399939e-06
890000,9.480360167799518e-07,1.0255020679323933e-06,8.799360221019016e-07,1.1065418948419394e-06,1.0736539115896448e-06,1.134014033596031e-06
900000,1.141324028139934e-06,1.310807972913608e-06,1.3898018441977912e-06,1.224841944349464e-06,1.2746480279020036e-06,1.2917199128423818e-06
910000,1.108182048483286e-06,1.3474919760483318e-06,1.2137459343648515e-06,1.3157159773982128e-06,1.2589619873324407e-06,1.2932920362800362e-06
920000,1.0775561240734532e-06,1.2648058618651702e-06,1.0544140022830106e-06,1.2705899425782263e-06,1.3220759574323893e-06,1.4496959338430314e-06
930000,1.1147239711135625e-06,1.3099519856041297e-06,1.176588048110716e-06,1.354676074697636e-06,1.3339660217752678e-06,1.4682860637549314e-06
940000,1.0894299630308524e-06,1.3029320471105168e-06,1.0426720618852413e-06,1.352150058664847e-06,1.2695099867414682e-06,1.2598620305652728e-06
950000,1.1555081364349462e-06,1.4208299471647476e-06,1.1802359949797394e-06,1.3805300550302493e-06,1.4433640899369496e-06,1.5790120305609885e-06
960000,1.1715281070792115e-06,1.3395800851867537e-06,1.239475925103761e-06,1.400066052156035e-06,1.3350100343814116e-06,1.4608020501327702e-06
970000,1.105168084905017e-06,1.4682260662084447e-06,1.2630519922822713e-06,1.3337560885702262e-06,1.3312019655131735e-06,1.337468005658593e-06
980000,1.1714439606294036e-06,1.440432053641416e-06,1.2117260775994507e-06,1.4359420092660002e-06,1.5163440475589594e-06,1.4511159315588887e-06
990000,1.082655988284387e-06,1.4189420835464262e-06,1.2649160780711097e-06,1.5112160253920592e-06,1.3729099591728301e-06,1.378542096063029e-06
1000000,1.082421928003896e-06,1.2703980319201945e-06,1.2172980350442231e-06,1.3658339448738847e-06,1.3088598934700715e-06,1.4617600318160837e-06
